English,Ukranian
weekend,вихідні
matters,питання
wrote,писав
type,тип
father's,батько
Alex,Alex
gosh,чорт забирай
opportunity,можливість
king,король
impossible,неможливо
books,книги
machine,машина
waste,відходи
th,го
pretend,прикидатися
named,названий
danger,небезпека
wall,стіна
Liz,Ліз
Ian,Ян
Henry,Генрі
jump,стрибок
eating,їжа
proof,доказ
complete,повний
slept,спав
career,кар'єра
arrest,заарештовувати
star,зірка
Phyllis,Філіс
Mac,Мак
breathe,дихати
perfectly,відмінно
warm,тепло
pulled,витягнув
Maria,Марія
twice,двічі
easier,легше
killer,вбивця
goin',входити'
dating,датування
suit,костюм
romantic,романтик
drugs,наркотики
comfortable,зручний
Isaac,Ісаак
powers or Powers,повноваження або повноваження
finds,знахідки
checked,перевірено
fit,придатний
divorce,розлучення
begin,почати
ourselves,самі
closer,ближче
ruin,розорення
although,хоча
smile,посмішка
laugh,сміх
fish,риба
Abigail,камеристка
treat,лікувати
god's,божий
fear,страх
Anna,Анна
what'd,що б
Simone,Симона
Amber,бурштиновий
guy's,хлопець
otherwise,в іншому випадку
excited,збуджений
mail,пошта
hiding,приховування
cost,вартість
green or Green,зелений або зелений
stole,палантин
Pacey,Pacey
noticed,помічений
Liza,Ліза
fired,звільнений
Daphne,волчеягодник
Whitney,Уїтні
excellent,відмінно
lived,що жив
bringing,приведення
pop,поп
piper or Piper,волинщик або Piper
bottom,дно
note,Примітка
sudden,раптово
church,церква
bathroom,ванна
flight,політ
Chad or chad,Чад або чадь
la or LA,ла або LA
honestly,чесно
sing,Sing
Katie,Кеті
foot,фут
games,гри
glass,скло
N.,Н.
Mitch,Мітч
remind,нагадувати
bank,банк
Rory,Рорі
charges,витрати
witness,свідок
finding,виявлення
places,місць
tree,дерево
dare,сміти
hardly,навряд чи
that'll,що буде
U.,університет
interest,інтерес
steal,вкрасти
princess,принцеса
silly,дурний
contact,контакт
teach,навчити
shop,магазин
plus,плюс
colonel,полковник
fresh,свіжий
trial,суд
invited,запрошений
roll,рулет
radio,радіо
art,мистецтво
reach,досяжність
heh,хех
dirty,брудний
choose,вибирати
emergency,непередбачений
dropped,впав
butt,приклад
credit,кредит
obvious,очевидний
cry,крик
locked,замкнений
Larry,Larry
loving,люблячий
positive,позитивний
nuts,горішки
agreed,узгоджений
Prue,Prue
price or Price,ціна або ціна
goodbye,до побачення
condition,хвороба
guard,охорона
fuckin',траханий
grow,рости
cake,торт
mood,настрій
dad's,папа
Bianca,Bianca
total,загальний
crap,лайно
crying,плач
Paige,Paige
K. or 'k,К. або «K
belong,належать
lay,планування
partner,партнер
trick,трюк
pressure,тиск
ohh,ооо
arm,озброїти
dressed,одягнений
cup,чашка
lies,брехня
bus,автобус
taste,смак
neck,шия
south,південь
something's,щось
nurse,медсестра
raise,підвищення
land,земля
cross,крос
lots,багато
mister,пан
carry,нести
group,група
whoever,хто б не
Eddie,Едді
drinking,питної
they'd,вони
breaking,ломка
file,файл
lock,замок
computer,комп'ютер
yo,років
Rebecca,Ребекка
wine,вино
closed,зачинено
writing,писемність
spot,місце
paying,платіж
study,вивчення
assume,вважати
asleep,сплячий
man's,ЧОЛОВІЧІ
turning,поворот
legal,правової
justice,справедливість
Viki,Viki
Chandler,крамар
bedroom,спальня
shower,душ
Nikolas,Nikolas
camera,камера
fill,заливка
reasons,причини
forty,сорок
bigger,більший
nope,нема
keys,ключі
Starr,Starr
breath,дихання
doctors,лікарі
pants,брюки
freak,урод
level,рівень
French,французький
movies,кіно
gee,ось здорово
Monica,Моніка
action,дію
area,область
folks,люди
Steve,Стів
cream,крем
ugh,тьху
continue,продовжувати
focus,фокус
wild,дикий
truly,дійсно
Jill or jill,Джилл або Jill
desk,стіл
convince,переконувати
client,клієнт
threw,метала
Taylor,Тейлор
band,група
hurts,болить
Charles,Чарльз
spending,витрати
Neil,Ніл
field or Field,поле або поле
allow,дозволяти
grand,великий
answers,відповіді
shirt,сорочка
chair,стілець
Christ or christ,Христос або христа
allowed,дозволено
rough,грубий
doin,робиш
sees,бачить
government,уряд
Harry,Гаррі
ought,повинен
empty,спорожнити
round,круглий
lights,вогні
insane,ненормальний
hall or Hall,зал або зал
hat,капелюх
bastard,ублюдок
wind,вітер
shows,шоу
aware,знати
dealing,дилинг
pack,пакет
meaning,значення
flowers,квіти
tight,щільний
hurting,боляче
ship,корабель
subject,тема
guest,гість
mom's,мама
chicken,курка
pal,товариш по чарці
match,сполучати
Elaine,Елейн
arrested,заарештований
sun,сонце
Rachel,Рейчел
Salem,Salem
confused,сплутати
surgery,хірургія
expecting,чекаючи
deacon,диякон
Colleen,Коллін
unfortunately,на жаль
goddamn,прокляття
lab,лабораторія
passed,пройшло
bottle,пляшка
beyond,за
whenever,коли
pool,басейн
opinion,думка
naked,оголений
held,проведені
common,загальний
starts,починається
jerk,покидьок
secrets,секрети
falling,падіння
played,грав
necessary,необхідно
barely,ледь
dancing,танці
health,здоров'я
tests,тести
copy,копія
Keri,Keri
video,відео
cousin,двоюрідний брат
planned,планований
Vanessa,Ванесса
dry,сухий
ahem,гм
twelve,дванадцять
simply,просто
Tess,Tess
Scott,Скотт
skin,шкіра
often,часто
English,англійська
fifteen,п'ятнадцять
spirit,дух
speech,мова
names,імена
issue,проблема
orders,замовлення
nah,нах
final,остаточний
Michelle,Мішель
America,Америка
St.,Святий
results,результати
code,код
Ned,Ned
Bonnie,Бонні
W.,W.
believed,"вважається,"
complicated,ускладнена
umm,ммм
research,дослідження
nowhere,ніде
escape,Втеча
biggest,найбільший
restaurant,ресторан
page or Page,сторінки або сторінки
grateful,вдячний
usual,зазвичай
burn,палити
Chicago,Чикаго
Austin,Остін
address,адреса
within,в
someplace,десь
screw,гвинт
everywhere,всюди
train,поїзд
film,фільм
regret,жалкуємо
goodness,доброта
mistakes,помилки
heaven or Heaven,небо або небо
details,деталі
responsibility,відповідальність
suspect,підозрюваний
corner,кут
hero,герой
dumb,німий
terrific,приголомшливий
Peter,Пітер
mission,місія
further,далі
Amy,Емі
gas,газ
whoo,Охайте
hole,отвір
memories,пам'яті
o'clock,годину
Brian,Брайан
truck,вантажівка
following,після
ended,закінчився
nobody's,нічий
Margo,Margo
teeth,зуби
ruined,зруйнований
Hank,моток
split,розкол
Reva,Рева
bear,ведмідь
airport,аеропорт
bite,вкусити
smoke,дим
Stenbeck,Стенбек
older,старший
liar,брехун
horse,кінь
Gwen,Гвен
showing,показ
van or Van,ван або Ван
project,проект
cards,карти
desperate,відчайдушний
themselves,самі
search,пошук
pathetic,патетичний
damage,пошкодження
spoke,говорив
quickly,швидко
scare,полякати
Marah,Marah
G.,G.
beach,Пляжний
Mia,Mia
brown or Brown,коричневий або Brown
afford,надавати
vote,голосування
settle,осідають
gold,золото
re or 're,повторно або «повторно
mentioned,згаданий
ed or -ed,ред або -ed
due,належне
passion,пристрасть
Y. or -y,Ю. або -y
stayed,залишився
rule,правило
Friday,п'ятниця
checking,перевірка
tie,галстук
hired,найманий
upon,на
rush or Rush,поспішати або Rush
Tad,Тед
heads,керівники
concern,занепокоєння
blew,підривали
natural,натуральний
Alcazar,алькасар
Kramer,Kramer
champagne,шампанське
connection,з'єднання
tickets,квитки
Kate,Кейт
finger,палець
happiness,щастя
form,форма
saving,економія
kissing,цілування
Martin,Мартін
hated,ненависний
personally,особисто
suggest,пропонувати
prepared,підготовлені
build,будувати
leg,ніжка
onto,на
leaves,листя
downstairs,внизу
ticket,квиток
it'd,це було
taught,вчив
loose,втратити
holy,святий
staff,персонал
sea,море
Asa,Як
planet,планета
duty,обов'язок
convinced,переконаний
throwing,кидання
defense,оборона
Harvey,Харві
kissed,поцілованих
legs,ноги
Dave,Дейв
according,згідно
loud,голосно
practice,практика
Andy,Енді
Jess,Джесс
Saturday,субота
Colin,Colin
bright or Bright,Яскравий яскравий або
Amanda,Аманда
Fraser,Фрейзер
F.,F.
babies,діти
army,армія
where'd,де
warning,увага
miracle,чудо
carrying,балансова вартість
flying,літаючий
Caleb,Калеб
blind,сліпий
queen,королева
ugly,потворний
shopping,покупка
hates,ненавидить
someone's,чиєсь
Seth,сет
monster,монстр
sight,зір
vampire,вампір
Rosanna,Розанна
bride,наречена
coat,пальто
account,рахунок
states,стану
clearly,явно
celebrate,святкувати
Nicole,Ніколь
brilliant,блискучий
wanting,бажаючи
Allison,Allison
add,додавати
moon,місяць
Forrester,Forrester
lips,губи
custody,опіка
center,центр
screwed,різьбові
buying,покупка
size,розмір
toast,тост
thoughts,думки
Isabella,Ізабелла
student,студент
stories,історії
however,проте
professional,професійний
stars,зірки
reality,реальність
Jimmy or jimmy,Джиммі або відмичка
birth,народження
Lexie,Лексі
attitude,відношення
advantage,перевага
grandfather,дід
Sami,самі
sold,проданий
opened,відкритий
Lily,лілія
grandma,бабуся
beg,благати
Edward,Едвард
changes,зміни
Diego,Дієго
Cole,капуста
someday,коли-небудь
grade,клас
cheese,сир
roof,дах
Kenny,Kenny
Bobby or bobby,Боббі або бобби
pizza,піца
brothers,брати
X. or x,X. або х
signed,підписаний
bird,птах
ahh,ааа
marrying,одруження
powerful,потужний
grown,дорослий
grandmother,бабуся
fake,підробка
opening,відкриття
Sally,вилазка
Stephanie,Стефанія
expected,очікуваний
eventually,в кінці кінців
must've,"має бути,"
ideas,ідеї
exciting,збудливий
covered,покритий
Parker,Parker
de,де
familiar,знайомий
bomb,бомба
bout,бій
television,телебачення
harmony or Harmony,гармонії або гармонії
color,колір
heavy,важкий
schedule,графік
records,облік
H.,H.
dollar,долар
capable,здатний
master,майстер
numbers,чисел
Toby,Тобі
practically,практично
including,в тому числі
correct,правильний
clue,ключ
forgotten,забутий
immediately,негайно
appointment,призначення
social,соціального
nature,природа
ú,ú
deserves,заслуговує
west or West,захід або Захід
Blake,Блейк
teacher,учитель
threat,загроза
Frankie,Френкі
bloody,кривавий
lonely,самотньо
Kelly,Келлі
ordered,упорядкований
shame,ганьба
Brittany,Бретань
local,місцевий
jacket,куртка
hook,гак
destroyed,зруйнований
scary,страшно
loser,невдаха
investigation,дослідження
above,вище
Jamal,Джамал
invite,запрошувати
shooting,стрілянина
merry,веселий
port,порт
precious,дорогоцінний
lesson,урок
Roy,Рой
criminal,злочинець
growing,зростання
caused,викликаний
victim,жертва
professor,професор
followed,з подальшим
funeral,похорон
nothing's,нічого
dean,декан
considering,беручи до уваги
burning,спалювання
couch,кушетка
strength,міцність
harder,важче
loss,втрата
view,вид
Gia,Гія
beauty,краса
sisters,сестри
everybody's,у всіх
several,кілька
pushed,штовхнув
Nicholas,Ніколас
written,написано
somebody's,чий-небудь
shock,шок
pushing,штовхаючи
heat,тепла
chocolate,шоколад
greatest,найбільший
Holden,Holden
miserable,нещасний
Corinthos,Corinthos
nightmare,кошмар
energy,енергія
brings,приносить
Zander,судак
character,характер
became,став
famous,відомий
enemy,ворог
crash,аварія
chances,шанси
sending,відправка
recognize,визнати
healthy,здоровий
boring,нудний
feed,подача
engaged,зайнято
Sarah,Сара
percent,відсотків
headed,двоголовий
Brandon,Brandon
lines,лінії
treated,лікування
purpose,мета
north or North,на північ або на Північ
knife,ніж
rights,права
drag,лобове опір
San,Сан -
fan,вентилятор
badly,погано
speed,швидкість
Santa,Санта
hire,прокат
curious,цікавий
paint,фарба
pardon,помилування
Jackson,Джексон
built,побудований
behavior,поведінку
closet,шафу
candy or Candy,цукерки або цукерки
Helena,Олена
warn,попереджати
gorgeous,чудовий
post,після
